order_date,city,quantity,unit_price,total_revenue,age,category,hour,day_of_week,is_weekend,guessed_gender
2024-08-11 11:55:00,Ankara,1,1800.0,1800.0,21-30,Coffee Machine,11,Sunday,True,Female
2024-08-11 12:05:00,Balıkesir,1,5520.0,5520.0,21-30,Vacuum Cleaner,12,Sunday,True,Female
2024-08-11 13:26:00,Ankara,1,6983.0,6983.0,,Extractor Hood,13,Sunday,True,Female
2024-08-11 13:30:00,İstanbul,1,8367.0,8367.0,,Kitchen Robot,13,Sunday,True,Female
2024-08-11 13:31:00,Kastamonu,1,5700.0,5700.0,,Cooktop,13,Sunday,True,Female
2024-08-11 14:03:00,Uşak,1,2700.0,2700.0,41-50,Toaster (Bread),14,Sunday,True,Male
2024-08-11 15:08:00,Elazığ,1,9615.0,9615.0,,Kitchen Robot,15,Sunday,True,Female
2024-08-11 15:48:00,Kocaeli,1,2490.0,2490.0,21-30,Blender,15,Sunday,True,Female
2024-08-11 15:58:00,İzmir,1,3583.0,3583.0,,Vacuum Cleaner,15,Sunday,True,Male
2024-08-11 16:07:00,Şanlıurfa,1,19900.0,19900.0,31-40,Dishwasher,16,Sunday,True,Female
2024-08-11 17:33:00,Kocaeli,1,2484.0,2484.0,31-40,Blender,17,Sunday,True,Female
2024-08-11 19:01:00,Ankara,1,10600.0,10600.0,31-40,Oven,19,Sunday,True,Male
2024-08-11 19:14:00,İstanbul,1,5520.0,5520.0,71+,Vacuum Cleaner,19,Sunday,True,Female
2024-08-11 20:25:00,İzmir,1,17800.0,17800.0,,Washing Machine,20,Sunday,True,Male
2024-08-11 20:31:00,Konya,2,5520.0,11040.0,,Vacuum Cleaner,20,Sunday,True,Male
2024-08-11 20:49:00,İstanbul,1,6653.0,6653.0,,Meat Grinder,20,Sunday,True,Unknown
2024-08-11 20:54:00,İstanbul,1,1404.0,1404.0,51-60,Blender,20,Sunday,True,Male
2024-08-11 21:04:00,Ankara,1,6653.0,6653.0,,Meat Grinder,21,Sunday,True,Male
2024-08-11 21:11:00,Antalya,1,10440.0,10440.0,,Oven,21,Sunday,True,Female
2024-08-11 21:35:00,Ankara,1,36960.0,36960.0,,Refrigerator,21,Sunday,True,Male
2024-08-11 22:28:00,İstanbul,1,8367.0,8367.0,21-30,Kitchen Robot,22,Sunday,True,Female
2024-08-11 22:45:00,Bolu,1,20700.0,20700.0,,Dryer,22,Sunday,True,Male
